segment,name,exchange,isin,instrument_type,instrument_key,lot_size,freeze_quantity,exchange_token,tick_size,trading_symbol,short_name,qty_multiplier,security_type,intraday_margin,intraday_leverage,Is present in nifty?,instrument_key
NSE_EQ,SMS PHARMACEUTICALS LTD.,NSE,INE812G01025,EQ,NSE_EQ|INE812G01025,1,100000,14329,5,SMSPHARMA,SMS Pharmaceuticals,1,NORMAL,20,5,FALSE,NSE_EQ|INE812G01025
NSE_EQ,IGARASHI MOTORS INDIA LTD,NSE,INE188B01013,EQ,NSE_EQ|INE188B01013,1,100000,634,5,IGARASHI,Igarashi Motors India,1,NORMAL,20,5,FALSE,NSE_EQ|INE188B01013
NSE_EQ,BEST AGROLIFE LIMITED,NSE,INE052T01013,EQ,NSE_EQ|INE052T01013,1,100000,2306,5,BESTAGRO,Best Agrolife,1,NORMAL,20,5,FALSE,NSE_EQ|INE052T01013
NSE_EQ,BIGBLOC CONSTRUCTION LTD,NSE,INE412U01025,EQ,NSE_EQ|INE412U01025,1,100000,18431,1,BIGBLOC,Bigbloc Construction,1,NORMAL,20,5,FALSE,NSE_EQ|INE412U01025
NSE_EQ,ROSSELL TECHSYS LIMITED,NSE,INE0OJW01016,EQ,NSE_EQ|INE0OJW01016,1,100000,27353,5,ROSSTECH,,1,NORMAL,20,5,FALSE,NSE_EQ|INE0OJW01016
NSE_EQ,CARBORUNDUM UNIVERSAL LTD,NSE,INE120A01034,EQ,NSE_EQ|INE120A01034,1,100000,595,5,CARBORUNIV,Carborundum Universal,1,NORMAL,20,5,FALSE,NSE_EQ|INE120A01034
NSE_EQ,FINO PAYMENTS BANK LTD,NSE,INE02NC01014,EQ,NSE_EQ|INE02NC01014,1,100000,6579,5,FINOPB,Fino Payments Bank,1,NORMAL,20,5,FALSE,NSE_EQ|INE02NC01014
NSE_EQ,TOURISM FINANCE CORP. OF,NSE,INE305A01023,EQ,NSE_EQ|INE305A01023,1,100000,3466,1,TFCILTD,,1,NORMAL,20,5,FALSE,NSE_EQ|INE305A01023
NSE_EQ,TATA INVESTMENT CORP LTD,NSE,INE672A01026,EQ,NSE_EQ|INE672A01026,1,100000,1621,5,TATAINVEST,,1,NORMAL,100,1,FALSE,NSE_EQ|INE672A01026
NSE_EQ,JTL INDUSTRIES LIMITED,NSE,INE391J01032,EQ,NSE_EQ|INE391J01032,1,100000,7287,1,JTLIND,,1,NORMAL,20,5,FALSE,NSE_EQ|INE391J01032
NSE_EQ,NATCO PHARMA LTD.,NSE,INE987B01026,EQ,NSE_EQ|INE987B01026,1,100000,3918,5,NATCOPHARM,Natco Pharma,1,NORMAL,20,5,FALSE,NSE_EQ|INE987B01026
NSE_EQ,CHENNAI PETROLEUM CORP LT,NSE,INE178A01016,EQ,NSE_EQ|INE178A01016,1,100000,2049,5,CHENNPETRO,Chennai Petroleum Corp,1,NORMAL,100,1,FALSE,NSE_EQ|INE178A01016
NSE_EQ,MAN COAT METAL & IND LTD,NSE,INE830Q01018,EQ,NSE_EQ|INE830Q01018,1,100000,7413,1,MANAKCOAT,Man Coat Metal,1,NORMAL,20,5,FALSE,NSE_EQ|INE830Q01018
NSE_EQ,GANESHA ECOSPHERE LIMITED,NSE,INE845D01014,EQ,NSE_EQ|INE845D01014,1,100000,6944,5,GANECOS,Ganesha Ecosphere,1,NORMAL,20,5,FALSE,NSE_EQ|INE845D01014
NSE_EQ,INDOSTAR CAPITAL FIN LTD,NSE,INE896L01010,EQ,NSE_EQ|INE896L01010,1,100000,3088,1,INDOSTAR,INDOSTAR CAPITAL FINANCE,1,NORMAL,20,5,FALSE,NSE_EQ|INE896L01010
